School Name,Score
Universität Leipzig,37.78
Politecnico di Milano,37.73
Aston University,37.66
Umeå University,37.45
University of Southern Denmark,37.43
University of East Anglia (UEA),37.27
University of Pisa,37.16
University of Pisa,37.16
Massey University,37.02
University of Jyväskylä,37.01
Jagiellonian University,36.87
University of Essex,36.7
University of Utah,36.52
Ateneo de Manila University,36.38
University of Eastern Finland,36.32
Universiti Sains Malaysia (USM),36.16
Ruhr-Universität Bochum,36.14
Indian Institute of Technology Kharagpur (IITKGP),36.13
Universität Konstanz,36.12
University of Oulu,35.93
University of the Philippines,35.9
Universität des Saarlandes,35.82
Universität Bielefeld,35.66
University of Waikato,35.66
Chiba University,35.62
Universiti Putra Malaysia (UPM),35.49
University of Tasmania,35.48
Universitas Gadjah Mada,35.25
Technische Universität Dresden,35.22
Griffith University,35.03
Universität Düsseldorf,34.97
Westfälische Wilhelms-Universitat Münster,34.94
Universidad de Buenos Aires,34.67
National Chiao Tung University,34.46
University of Florence,34.45
Université Paris Descartes,34.39
Dublin City University,34.38
Pontificia Universidad Católica de Chile,34.23
Bilkent University,34.2
York University,34.17
Colorado State University,34.08
Arizona State University,34
Universitat Pompeu Fabra,33.97
Ben Gurion University of The Negev,33.91
University of Connecticut,33.88
Universität Bremen,33.75
Virginia Polytechnic Institute (Virginia Tech),33.63
American University of Beirut (AUB),33.4
Hong Kong Baptist University,33.36
Sungkyunkwan University,33.35
Johannes Gutenberg Universität Mainz,33.33
Kyung Hee University,33.12
"Université Lille 1, Sciences et Technologie",33.1
The University of Georgia,33.06
Ewha Womans University,32.77
Karl-Franzens-Universitaet Graz,32.74
University of Kentucky,32.69
University of Alabama,32.61
Washington State University,32.61
University of Navarra,32.39
Hanyang University,32.29
James Cook University,32.29
Heriot-watt University,32.13
University of Manitoba,32.1
Universidad Austral,32.06
Boston College,31.94
University of the Witwatersrand,31.9
Brunel University,31.89
Deakin University,31.87
Università degli Studi di Pavia,31.82
Warsaw University,31.64
Universiti Teknologi Malaysia (UTM),31.58
National University of Sciences And Technology (NUST) Islamabad,31.56
Universidad de Chile,31.54
Bangor University,31.52
University of Tampere,31.5
National Taiwan University of Science And Technology (formerly National Taiwan Institute of Technology),31.46
University of Delhi,31.21
United Arab Emirates University,31.18
Universität Bayreuth,31.12
Illinois Institute of Technology,31.08
Novosibirsk State University,30.93
Swansea University,30.72
University of Kansas,30.7
Philipps-Universität Marburg,30.67
Universität Regensburg,30.58
Aberystwyth University,30.55
Universidade Federal do Rio de Janeiro,30.49
"Université Toulouse III, Paul Sabatier",30.31
University of St Gallen (HSG),30.25
Universidade Nova de Lisboa,30.23
University of Tennessee,29.95
"Goldsmiths, University of London",29.92
Tecnológico de Monterrey (ITESM),29.68
Tongji University,29.65
Linköping University,29.56
Université Claude Bernard Lyon 1,29.54
Howard University,29.45
Pusan National University,29.41
University at Buffalo SUNY,29.31
University of Bradford,29.11
Dublin Institute of Technology,29.04
University of Coimbra,29.03
Sogang University,29
National Central University,28.95
Universität Jena,28.86
Christian-Albrechts-Universität zu Kiel,28.76
"University of Missouri, Columbia",28.71
Université Henri Poincaré Nancy 1,25.93
University of Trento,26.31
University of Oklahoma,27.71
College of William & Mary,26.64
University of Vermont,26.01
University of Kent,26.47
Florida State University,28.55
Universität Dortmund,26.63
National Sun Yat-sen University,26.95
Chiang Mai University,25.16
Bandung Institute of Technology (ITB),28.6
KoÃ§ University,24.92
Istanbul University,26.31
University of New Mexico,27.74
Xi'an Jiaotong University,28.13
Eötvös Loránd University,26.43
Northeastern University,24.93
University of Naples - Federico Ii,24.92
University of Oregon,26.21
Yeshiva University,24.9
Université Paris Dauphine,27.14
University of Tehran,25.91
University of Delaware,25.53
University of Trieste,26.16
Tomsk State University,24.9
University of Houston,25.96
Technische Universität Braunschweig,25.75
Tianjin University,26.82
Carleton University,25.62
Yokohama City University,27.71
Drexel University,27.79
University of Crete,26.35
Oregon State University,25.31
Swinburne University of Technology,28.63
Aristotle University of Thessaloniki,28.29
City University of New York,25.86
Okayama University,27.78
Concordia University,25.56
Tokyo Metropolitan University,26.64
Nagasaki University,28.39
National University of Ireland Maynooth,24.9
University of South Carolina,25.4
King Abdul Aziz University (KAU),26.1
Czech Technical University In Prague,27.41
Universitat de Valencia,27.23
Lehigh University,26.07
Inha University,25.36
Kumamoto University,26.73
Sabanci University,25.41
University of South Carolina,25.4
Université Henri Poincaré Nancy 1,25.93
National Technical University of Athens,23.94
University of Granada,23.48
Thammasat University,23.4
L.N. Gumilyov Eurasian National University,24.73
Université du Québec,23.91
Aalborg University,24.12
University of Milano,22.02
Universidad ORT Uruguay,23.95
Worcester Polytechnic Institute,22.98
Osaka City University,24.41
Politecnico di Torino,24.8
Kanazawa University,24.48
Syracuse University,22.19
Airlangga University,22.6
University of Siena,23.44
University of Porto,22.09
Kyungpook National University,22.69
State University Higher School of Economics (HSE),22.52
Universidade de Santiago de Compostela,24.08
University of Salamanca,23.2
De La Salle University,24.66
Virginia Commonwealth University,22.82
University of Mumbai,22.38
University of Limerick,24.36
"Université Paris 2, Panthéon-Assas",22.37
Murdoch University,24.31
Tokyo University of Science (TUS),23.16
Cairo University,23.8
University of Nebraska,24.08
The Open University,23.07
University of Patras,24.08
Temple University,22.19
Yokohama National University,24.24
University of Hull,23.82
Istanbul Technical University,23.09
National Taiwan Normal University,22.12
American University,22.98
Gifu University,23.68
Universität Duisburg-Essen,24.36
Leibniz Universität Hannover,23.91
City University London,22.91
